German;English;Score;SucceedSession;Succeed;TrySession
das Herz;the heart;-1;FALSE;FALSE;FALSE
das Hotel;the hotel;3;FALSE;FALSE;FALSE
das Huhn;the chicken;3;FALSE;FALSE;FALSE
das Insekt;the insect;5;FALSE;TRUE;FALSE
das Interesse;the interest;0;FALSE;FALSE;FALSE
das Interview;the interview;1;FALSE;FALSE;FALSE
das Jahr;the year;4;TRUE;FALSE;TRUE
das Kind;the kid;5;FALSE;TRUE;FALSE
das Kino;the cinema;3;FALSE;FALSE;FALSE
das Kissen;the pillow;0;TRUE;FALSE;TRUE
das Kleid;the dress;5;TRUE;TRUE;TRUE
das Krakenhaus;the hospital;1;FALSE;FALSE;FALSE
das Land;the country;4;FALSE;FALSE;FALSE
das Leben;the life;-2;FALSE;FALSE;FALSE
das Lotto;the lottery;5;FALSE;TRUE;FALSE
das Mädchen;the girl;5;FALSE;TRUE;FALSE
das Meer;the sea;2;FALSE;FALSE;FALSE
das Mitglied;the member;1;FALSE;FALSE;FALSE
das Obst;the fruit;4;TRUE;FALSE;TRUE
das Ohr;the ear;3;TRUE;FALSE;TRUE
das Öl;the oil;5;FALSE;TRUE;FALSE
das Organ;the organ;5;FALSE;TRUE;FALSE
das Paar;the pair;0;FALSE;FALSE;FALSE
das Pferd;the horse;5;FALSE;TRUE;FALSE
das Praktikum;the internship;4;FALSE;FALSE;FALSE
das Problem;the problem;1;FALSE;FALSE;FALSE
das Pronomen;the pronoun;3;FALSE;FALSE;FALSE
das Radio;the radio;3;TRUE;FALSE;TRUE
das Regal;the shelve;3;FALSE;FALSE;FALSE
das Restaurant;the restaurant;3;FALSE;FALSE;FALSE
das Ritual;the ritual;1;TRUE;FALSE;TRUE
das Salz;the salt;5;FALSE;TRUE;FALSE
das Schiff;the ship;4;FALSE;FALSE;FALSE
das Schwein;the pig;5;FALSE;TRUE;FALSE
das Sofa;the sofa;2;FALSE;FALSE;FALSE
das Sonderangebot;the special offer;1;FALSE;FALSE;FALSE
das Sternzeichen;the zodiacal sign;-4;FALSE;FALSE;FALSE
das Telefon;the telephone;2;FALSE;FALSE;FALSE
das Theater;the theater;-1;FALSE;FALSE;FALSE
das Tier;the animal;5;FALSE;TRUE;FALSE
das Töpfchen;the potty;-1;FALSE;FALSE;TRUE
das Verb;the verb;4;FALSE;FALSE;FALSE
das Waschen;the washing;2;FALSE;FALSE;FALSE
das Wasser;the water;5;FALSE;TRUE;FALSE
das Wetter;the weather;4;FALSE;FALSE;FALSE
das Wissen;the knowledge;5;FALSE;TRUE;FALSE
das Wort;the word;5;FALSE;TRUE;FALSE
davon;thereof;-1;FALSE;FALSE;FALSE
deklinieren;to decline;1;FALSE;FALSE;FALSE
denken;to think;5;FALSE;TRUE;FALSE
der Anrufer;the caller;1;FALSE;FALSE;FALSE
der Apfel;the apple;5;FALSE;TRUE;FALSE
der Arkitekt;the architect;5;FALSE;TRUE;FALSE
der Arzt;the doctor;5;FALSE;TRUE;FALSE
der Aufgabe;the task;5;FALSE;TRUE;FALSE
der Bär;the bear;0;FALSE;FALSE;FALSE
der Berg;the mountain;1;FALSE;FALSE;FALSE
der Beruf;the profession;-4;FALSE;FALSE;FALSE
der Besitz;the possession;-7;FALSE;FALSE;TRUE
der Beweis;the proof;-5;FALSE;FALSE;TRUE
der Blumentopf;the flowerpot;-1;FALSE;FALSE;TRUE
der Brand;the fire;3;FALSE;FALSE;FALSE
der Briefwechsel;the correspondence;-2;FALSE;FALSE;FALSE
der Bruch;the facture;-1;FALSE;FALSE;FALSE
der Bruder;the brother;5;FALSE;TRUE;FALSE
der Charakter;the character;-1;FALSE;FALSE;FALSE
der Computer;the computer;5;FALSE;TRUE;FALSE
der Designer;the designer;4;FALSE;FALSE;FALSE
der Dreh;the twist;-1;FALSE;FALSE;TRUE
der Ecke;the corner;-1;FALSE;FALSE;FALSE
der Ehemann;the husband;1;FALSE;FALSE;FALSE
der Ei;the egg;5;FALSE;TRUE;FALSE
der Enkel;the grand-son;5;FALSE;TRUE;FALSE
der Ersatz;the replacement;0;FALSE;FALSE;FALSE
der Euro;the euro;3;FALSE;FALSE;FALSE
der Fehler;the mistake;0;FALSE;FALSE;FALSE
der Fernseher;the television;-1;FALSE;FALSE;TRUE
der Film;the movie;0;FALSE;FALSE;FALSE
der Fisch;the fish;3;FALSE;FALSE;FALSE
der Fluss;the river;2;TRUE;FALSE;TRUE
der Freund;the boyfriend;5;FALSE;TRUE;FALSE
der Friseur;the hairdresser;3;FALSE;FALSE;FALSE
der Frühling;the spring;2;TRUE;FALSE;TRUE
der Fussweg;the footpath;-2;FALSE;FALSE;FALSE
der Garten;the garden;1;FALSE;FALSE;FALSE
der Gaschmack;the taste;-1;FALSE;FALSE;FALSE
der Gast;the client;2;FALSE;FALSE;TRUE
der Geist;the gosht;-1;TRUE;FALSE;TRUE
der Grad;the degree;0;FALSE;FALSE;FALSE
der Grossvater;the grand-father;5;FALSE;TRUE;FALSE
der Hase;the rabbit;0;FALSE;FALSE;FALSE
der Hausbau;the house construction;-2;FALSE;FALSE;FALSE
der Haushalt;the household;-3;FALSE;FALSE;FALSE
der Herbst;the autumn;5;FALSE;TRUE;FALSE
der Himmel;the sky;0;FALSE;FALSE;TRUE
der Historiker;the historian;4;FALSE;FALSE;FALSE
der Hund;the dog;5;FALSE;TRUE;FALSE
der Hut;the hat;1;FALSE;FALSE;FALSE
der Ingenieur;the ingenieur;4;FALSE;FALSE;FALSE
der Journalist;the journalist;5;FALSE;TRUE;FALSE
der Junge;the boy;5;FALSE;TRUE;FALSE
der Käfer;the cockroach;0;FALSE;FALSE;FALSE
der Kaffee;the coffee;4;FALSE;FALSE;FALSE
der Käse;the cheese;5;FALSE;TRUE;FALSE
der Kellner;the waiter;5;FALSE;TRUE;FALSE
der Knopf;the button;4;TRUE;FALSE;TRUE
der Kollege;the colleague;2;TRUE;FALSE;TRUE
der Konflikt;the conflict;-2;FALSE;FALSE;FALSE
der Kopf;the head;2;FALSE;FALSE;FALSE
der Körper;the body;5;FALSE;TRUE;FALSE
der Krieg;the war;2;FALSE;FALSE;FALSE
der Küchenchef;the cook;2;TRUE;FALSE;TRUE
der Kühlschrank;the fridge;5;TRUE;TRUE;TRUE
der Lehrer;the teacher;5;FALSE;TRUE;FALSE
der Löffel;the spoon;2;FALSE;FALSE;TRUE
der Maler;the painter;1;FALSE;FALSE;FALSE
der Mann;the man;5;FALSE;TRUE;FALSE
der Mantel;the coat;5;FALSE;TRUE;FALSE
der Mechatroniker;the mechanic;5;FALSE;TRUE;FALSE
der Mensch;the human;5;FALSE;TRUE;FALSE
der Mieter;the tenant;-3;FALSE;FALSE;FALSE
der Mund;the mouth;0;FALSE;FALSE;FALSE
der Mut;the courage;-1;TRUE;FALSE;TRUE
der Nachmittag;the afternoon;-1;FALSE;FALSE;TRUE
der Nachtisch;the dessert;-1;FALSE;FALSE;FALSE
der Opa;the grandpa;5;FALSE;TRUE;FALSE
der Orangensaft;the orange juice;5;FALSE;TRUE;FALSE
der Partner;the partner;5;FALSE;TRUE;FALSE
der Polizei;the police;0;FALSE;FALSE;TRUE
der Praktikant;the intern;5;FALSE;TRUE;FALSE
der Preis;the price;2;FALSE;FALSE;FALSE
der Prinz;the prince;5;FALSE;TRUE;FALSE
der Pullover;the pull-over;5;FALSE;TRUE;FALSE
der Raum;the space;-4;FALSE;FALSE;FALSE
der Reichtum;the wealth;0;FALSE;FALSE;FALSE
der Reis;the rice;5;FALSE;TRUE;FALSE
der Ring;the ring;1;FALSE;FALSE;FALSE
der Rock;the skirt;4;FALSE;FALSE;FALSE
der Saft;the juice;-1;TRUE;FALSE;TRUE
der Schatz;the treasure;3;FALSE;FALSE;FALSE
der Schauspieler;the actor;5;FALSE;TRUE;FALSE
der Schmuck;the jewelry;-2;FALSE;FALSE;FALSE
der Schrank;the cupboard;2;FALSE;FALSE;FALSE
der Schuh;the shoe;-1;FALSE;FALSE;FALSE
der See;the lake;-1;FALSE;FALSE;FALSE
der Sekretär;the secretary;5;FALSE;TRUE;FALSE
der Sessel;the armchair;1;FALSE;FALSE;FALSE
der Sohn;the son;5;FALSE;TRUE;FALSE
der Sommer;the summer;5;FALSE;TRUE;FALSE
der Spasse;the fun;0;FALSE;FALSE;FALSE
der Sport;the sport;0;FALSE;FALSE;FALSE
der Standort;the location;-1;TRUE;FALSE;TRUE
der Statistiker;the statistician;5;FALSE;TRUE;FALSE
der Staz;the sentence;-4;FALSE;FALSE;FALSE
der Stern;the star;5;FALSE;TRUE;FALSE
der Strom;the electricity;0;FALSE;FALSE;FALSE
der Student;the student;5;FALSE;TRUE;FALSE
der Stuhl;the chair;5;FALSE;TRUE;FALSE
der Tag;the day;3;TRUE;FALSE;TRUE
der Täter;the offender;2;FALSE;FALSE;TRUE
der Tee;the tea;5;FALSE;TRUE;FALSE
der Teil;the part;-2;FALSE;FALSE;TRUE
der Teller;the plate;1;FALSE;FALSE;FALSE
der Teppich;the carpet;2;FALSE;FALSE;FALSE
der Text;the text;2;FALSE;FALSE;FALSE
der Tisch;the table;-2;FALSE;FALSE;FALSE
der Tod;the death;1;FALSE;FALSE;FALSE
der Transport;the transport;-1;FALSE;FALSE;FALSE
der Unfall;the accident;1;FALSE;FALSE;FALSE
der Vater;the father;5;FALSE;TRUE;FALSE
der Verkäufer;the seller;0;FALSE;FALSE;TRUE
der Verkehr;the circulation;-3;FALSE;FALSE;FALSE
der Verleih;the rental shop;-1;FALSE;FALSE;FALSE
der Veteran;the veteran;3;TRUE;FALSE;TRUE
der Vogel;the bird;5;TRUE;TRUE;TRUE
der Vorfall;the incident;0;FALSE;FALSE;FALSE
der Wahnsinn;the madness;-2;FALSE;FALSE;TRUE
der Wein;the wine;5;FALSE;TRUE;FALSE
der Wert;the value;-1;FALSE;FALSE;FALSE
der Winter;the winter;5;FALSE;TRUE;FALSE
der Würfel;the dice;0;FALSE;FALSE;FALSE
der Wurst;the sausage;5;FALSE;TRUE;FALSE
der Zucker;the sugar;2;FALSE;FALSE;FALSE
der Zug;the train;2;FALSE;FALSE;FALSE
der Zuhörer;the listener;4;FALSE;FALSE;FALSE
der Zweifel;the doubt;0;FALSE;FALSE;FALSE
Deutsch;German;5;FALSE;TRUE;FALSE
Deutschland;Germany;5;FALSE;TRUE;FALSE
Dezember;December;0;FALSE;FALSE;FALSE
dick;thick;0;FALSE;FALSE;FALSE
die Ablehnung;the refusal;-2;FALSE;FALSE;FALSE
die Angst;the fear;5;FALSE;TRUE;FALSE
die Antwort;the answer;5;FALSE;TRUE;FALSE
die Apotheke;the pharmacy;1;FALSE;FALSE;TRUE
die Armut;the poverty;-4;FALSE;FALSE;FALSE
die Ärztin;the female doctor;3;FALSE;FALSE;TRUE
die Aufmerksamkeit;the attention;-4;FALSE;FALSE;FALSE
die Aufnahme;the reception;0;FALSE;FALSE;FALSE
die Ausnahme;the exception;1;TRUE;FALSE;TRUE
die Ausrüstung;the equipment;0;FALSE;FALSE;FALSE
die Aussage;the statement;5;FALSE;TRUE;FALSE
die Banane;the banana;5;FALSE;TRUE;FALSE
die Bedingung;the condition;-5;FALSE;FALSE;FALSE
die Bejahung;the affirmation;-5;FALSE;FALSE;FALSE
die Bewegung;the movement;-2;FALSE;FALSE;FALSE
die Beziehung;the relationship;-3;FALSE;FALSE;FALSE
die Biene;the bee;-2;FALSE;FALSE;TRUE
die Blume;the flower;4;TRUE;FALSE;TRUE
die Bluse;the blouse;5;FALSE;TRUE;FALSE
die Couch;the couch;2;FALSE;FALSE;FALSE
die Daten;the data;0;FALSE;FALSE;FALSE
die Diskussion;the discussion;3;TRUE;FALSE;TRUE
die Dose;the can;0;TRUE;FALSE;TRUE
die Ehefrau;the wife;5;FALSE;TRUE;FALSE
die Eltern;the parents;4;FALSE;FALSE;FALSE
die Enkelin;the grand-daughter;5;FALSE;TRUE;FALSE
die Ente;the duck;5;FALSE;TRUE;FALSE
die Entfernung;the distance;-2;FALSE;FALSE;FALSE
die Entscheidung;the decision;-7;FALSE;FALSE;TRUE
die Erdbeere;the strawberry;2;FALSE;FALSE;FALSE
die Erkältung;a cold;-2;FALSE;FALSE;TRUE
die Erläuterung;the explication;-1;FALSE;FALSE;TRUE
die Familie;the family;2;FALSE;FALSE;FALSE
die Farbe;the color;1;FALSE;FALSE;FALSE
die Feuerwehr;the fire brigade;4;FALSE;FALSE;FALSE
die Flexion;the inflection;-1;FALSE;FALSE;FALSE
die Fliege;the fly;4;FALSE;FALSE;FALSE
die Folgerung;the consequence;-2;TRUE;FALSE;TRUE
die Fotografie;the photography;0;FALSE;FALSE;FALSE
die Frage;the question;5;TRUE;TRUE;TRUE
die Frau;the woman;5;FALSE;TRUE;FALSE
die Freundin;the girlfriend;4;FALSE;FALSE;FALSE
die Garantie;the guarantee;-1;FALSE;FALSE;FALSE
die Gefahr;the danger;-6;FALSE;FALSE;FALSE
die Gefühl;the feeling;-2;FALSE;FALSE;FALSE
die Gegenwart;the present;-2;FALSE;FALSE;FALSE
die Gemeinschaft;the community;0;FALSE;FALSE;FALSE
die Generation;the generation;3;FALSE;FALSE;FALSE
die Geographie;the geography;1;FALSE;FALSE;FALSE
die Geschichte;the story;0;FALSE;FALSE;FALSE
die Geschwindigkeit;the speed;-2;FALSE;FALSE;FALSE
die Geschwister;the siblings;1;FALSE;FALSE;FALSE
die Gesellschaft;the society;-1;FALSE;FALSE;FALSE
die Gesundheit;the health;1;TRUE;FALSE;TRUE
die Gewinnzahl;the winning number;5;FALSE;TRUE;FALSE
die Grosseltern;the grand-parents;3;FALSE;FALSE;FALSE
die Grossmutter;the grand-mother;5;FALSE;TRUE;FALSE
die Hängematte;the hammock;2;FALSE;FALSE;FALSE
die Häufigkeit;the frequency;-4;FALSE;FALSE;FALSE
die Haustier;the pet;-1;FALSE;FALSE;FALSE
die Heizung;the heater;-4;FALSE;FALSE;FALSE
die Hochzeit;the marriage;-3;FALSE;FALSE;FALSE
die Höhe;the height;0;FALSE;FALSE;FALSE
die Hose;the pants;5;FALSE;TRUE;FALSE
die Idee;the idea;3;FALSE;FALSE;FALSE
die Identität;the identity;-1;FALSE;FALSE;TRUE
die Jacke;the jacket;5;FALSE;TRUE;FALSE
die Kartoffel;the potato;5;FALSE;TRUE;FALSE
die Katze;the cat;5;FALSE;TRUE;FALSE
die Kirche;the church;5;TRUE;TRUE;TRUE
die Kleidung;the clothes;-2;FALSE;FALSE;FALSE
die Konstellation;the constellation;2;FALSE;FALSE;FALSE
die Körperpflege;the personal hygiene;2;FALSE;FALSE;FALSE
die Kosmetik;the make-up;5;FALSE;TRUE;FALSE
die Krankheit;the disease;0;FALSE;FALSE;FALSE
die Küche;the kitchen;4;FALSE;FALSE;FALSE
die Kuchen;the cake;-1;FALSE;FALSE;FALSE
die Kuh;the cow;3;FALSE;FALSE;FALSE
die Lampe;the lamp;5;FALSE;TRUE;FALSE
die Landwirtschaft;the agriculture;-2;FALSE;FALSE;FALSE
die Leistung;the power;0;FALSE;FALSE;FALSE
die Liebe;the love;1;FALSE;FALSE;FALSE
die Literatur;the literature;1;FALSE;FALSE;FALSE
die Malerei;the painting;-1;FALSE;FALSE;FALSE
die Markise;the awning;-1;FALSE;FALSE;FALSE
die Maus;the mouse;1;FALSE;FALSE;FALSE
die Meeresfrucht;the sea food;3;FALSE;FALSE;FALSE
die Meinung;the opinion;-1;FALSE;FALSE;TRUE
die Menge;the amount;-3;FALSE;FALSE;TRUE
die Milch;the milk;5;FALSE;TRUE;FALSE
die Mitteilung;the information;-4;FALSE;FALSE;FALSE
die Möbel;the furniture;0;FALSE;FALSE;FALSE
die Moral;the morality;5;FALSE;TRUE;FALSE
die Musik;the musique;-2;FALSE;FALSE;TRUE
die Mutter;the mother;5;FALSE;TRUE;FALSE
die Nase;the nose;1;FALSE;FALSE;FALSE
die Note;the note;0;FALSE;FALSE;FALSE
die Nudel;the pasta;4;TRUE;FALSE;TRUE
die Oma;the grandma;5;FALSE;TRUE;FALSE
die Orange;the orange;3;FALSE;FALSE;TRUE
die Packung;the pack;-1;FALSE;FALSE;FALSE
die Panne;the breakdown;3;FALSE;FALSE;FALSE
die Pflanze;the plant;2;FALSE;FALSE;FALSE
die Regel;the rule;-1;FALSE;FALSE;FALSE
die Regierung;the government;-2;FALSE;FALSE;TRUE
die Reise;the travel;2;TRUE;FALSE;TRUE
die Religion;the religion;4;FALSE;FALSE;FALSE
die Richtung;the direction;-3;FALSE;FALSE;FALSE
die Sache;the thing;0;FALSE;FALSE;FALSE
die Sauce;the sauce;0;FALSE;FALSE;FALSE
die Scherbe;the shard;-1;FALSE;FALSE;TRUE
die Schokolade;the chocolate;5;FALSE;TRUE;FALSE
die Schwester;the sister;5;FALSE;TRUE;FALSE
die Socke;the sock;4;FALSE;FALSE;FALSE
die Speisekarte;the menu;3;FALSE;FALSE;FALSE
die Spezialität;the specialty;3;FALSE;FALSE;FALSE
die Spinne;the spider;4;FALSE;FALSE;FALSE
die Sprache;the language;2;FALSE;FALSE;FALSE
die Stadt;the city;3;FALSE;FALSE;FALSE
die Strasse;the street;2;FALSE;FALSE;FALSE
die Strumpfhose;the hoose;5;FALSE;TRUE;FALSE
die Suppe;the soup;5;FALSE;TRUE;FALSE
die Tasche;the bag;-1;FALSE;FALSE;FALSE
die Tiefe;the depth;0;FALSE;FALSE;FALSE
die Tochter;the daughter;1;FALSE;FALSE;FALSE
die Tomate;the tomato;5;FALSE;TRUE;FALSE
die Tür;the door;5;FALSE;TRUE;FALSE
die Übertreibung;the exaggeration;-3;TRUE;FALSE;TRUE
die Vergangenheit;the past;0;FALSE;FALSE;FALSE
die Vergleich;the comparison;-3;FALSE;FALSE;FALSE
die Verletzung;the injury;-6;FALSE;FALSE;FALSE
die Verneinung;the negation;-5;FALSE;FALSE;FALSE
die Verpackung;the packaging;-1;TRUE;FALSE;TRUE
die Verzweiflung;the despair;-2;FALSE;FALSE;TRUE
die Wahrheit;the truth;-1;FALSE;FALSE;FALSE
die Wissenschaftler;the scientist;4;FALSE;FALSE;FALSE
die Woche;the week;1;FALSE;FALSE;FALSE
die Wohnung;the flat;3;FALSE;FALSE;FALSE
die Zahl;the number;5;FALSE;TRUE;FALSE
die Zeit;the time;5;FALSE;TRUE;FALSE
die Zeitung;the newspaper;5;FALSE;TRUE;FALSE
die Zukunft;the future;0;FALSE;FALSE;FALSE
die Zusammenkunft;the meeting;-2;FALSE;FALSE;FALSE
Dienstag;Tuesday;5;FALSE;TRUE;FALSE
Donnerstag;Thursday;5;FALSE;TRUE;FALSE
draussen;outside;2;FALSE;FALSE;FALSE
dunkel;dark;-1;FALSE;FALSE;FALSE
durst;thirsty;5;FALSE;TRUE;FALSE
ein bisschen;a bit;2;TRUE;FALSE;TRUE
einfach;easy;-1;FALSE;FALSE;FALSE
einmal;once;5;FALSE;TRUE;FALSE
eins nach dem anderen;one by one;-1;FALSE;FALSE;TRUE
emotional;emotional;0;FALSE;FALSE;FALSE
Englisch;English;5;FALSE;TRUE;FALSE
entfernen;to remove;-4;FALSE;FALSE;TRUE
entscheiden;to decide;-3;FALSE;FALSE;TRUE
entschuldigung;excuse-me;5;FALSE;TRUE;FALSE
erklären;to explain;0;FALSE;FALSE;FALSE
erste;first;5;FALSE;TRUE;FALSE
erstellen;to draw up;-1;FALSE;FALSE;TRUE
es tut mir leid;I'm sorry;5;FALSE;TRUE;FALSE
essen;to eat;5;FALSE;TRUE;FALSE
ewig;eternally;-1;FALSE;FALSE;TRUE
fahren;to drive;0;FALSE;FALSE;FALSE
fälligkeit;due date;4;FALSE;FALSE;FALSE
falls;in case;-1;FALSE;FALSE;FALSE
falsch;wrong;5;FALSE;TRUE;FALSE
fantastisch;fantastic;5;FALSE;TRUE;FALSE
fast;almost;-2;FALSE;FALSE;TRUE
faszinierend;fascinating;4;FALSE;FALSE;FALSE
Februar;February;1;TRUE;FALSE;TRUE
fertig;ready;5;FALSE;TRUE;FALSE
fett;fat;-1;FALSE;FALSE;FALSE
finden;to find;4;FALSE;FALSE;FALSE
flexibel;flexible;1;FALSE;FALSE;FALSE
folgen;to follow;-1;FALSE;FALSE;FALSE
fortsetzen;to continue;0;TRUE;FALSE;TRUE
fragen;to ask;1;TRUE;FALSE;TRUE
Französisch;French;3;FALSE;FALSE;FALSE
frei;free;5;FALSE;TRUE;FALSE
Freitag;Friday;5;FALSE;TRUE;FALSE
fressen;to eat (animal);5;FALSE;TRUE;FALSE
freuen;to be looking forward;-1;FALSE;FALSE;TRUE
frisch;fresh;2;FALSE;FALSE;FALSE
fügen;to add;2;FALSE;FALSE;FALSE
fühlen;to feel;0;FALSE;FALSE;FALSE
ganz;entirely;1;FALSE;FALSE;FALSE
gar;at all;0;FALSE;FALSE;FALSE
geben;to give;5;FALSE;TRUE;FALSE
gehen;to go;5;FALSE;TRUE;FALSE
gelb;yellow;3;FALSE;FALSE;FALSE
genau;I agree;5;FALSE;TRUE;FALSE
gerade;just;2;FALSE;FALSE;FALSE
gern geschehen;you are welcome;0;FALSE;FALSE;FALSE
gerne;gladly;0;FALSE;FALSE;FALSE
geschieden;divorced;5;FALSE;TRUE;FALSE
gesund;healthy;3;FALSE;FALSE;FALSE
gewinnen;to win;2;FALSE;FALSE;FALSE
glauben;to believe;5;FALSE;TRUE;FALSE
gleich;equal;0;FALSE;FALSE;FALSE
glücklich;happy;-2;FALSE;FALSE;FALSE
golden;golden;5;FALSE;TRUE;FALSE
gratis;free (money);2;TRUE;FALSE;TRUE
grau;grey;5;FALSE;TRUE;FALSE
gross;big;5;FALSE;TRUE;FALSE
grossartig;great;0;FALSE;FALSE;FALSE
grün;green;4;FALSE;FALSE;FALSE
günstig;favorable;1;FALSE;FALSE;FALSE
gut;good;5;FALSE;TRUE;FALSE
Gute Nacht;good night;5;FALSE;TRUE;FALSE
Guten Abend;good evening;5;FALSE;TRUE;FALSE
Guten Morgen;good morning;5;FALSE;TRUE;FALSE
Guten Tag;good day;5;FALSE;TRUE;FALSE
haben;to have;5;FALSE;TRUE;FALSE
hallo;hello;4;FALSE;FALSE;FALSE
hässlich;ugly;5;FALSE;TRUE;FALSE
heissen;to be named;5;FALSE;TRUE;FALSE
hell;bright;0;FALSE;FALSE;TRUE
herausfinden;to find out;-1;FALSE;FALSE;FALSE
herum;around;2;FALSE;FALSE;FALSE
heute;today;5;FALSE;TRUE;FALSE
Hilfe;help;2;FALSE;FALSE;FALSE
hoch;up;5;FALSE;TRUE;FALSE
hören;to listen;5;FALSE;TRUE;FALSE
hübsch;pretty;2;FALSE;FALSE;FALSE
hunger;hungry;5;FALSE;TRUE;FALSE
insbesondere;especially;-1;FALSE;FALSE;TRUE
interessant;interesting;5;FALSE;TRUE;FALSE
interessiert;interested;-1;FALSE;FALSE;TRUE
irgendwie;somehow;-1;FALSE;FALSE;TRUE
ja;yes;4;FALSE;FALSE;FALSE
Januar;January;0;FALSE;FALSE;FALSE
jede;each;2;FALSE;FALSE;FALSE
jemand;someone;0;FALSE;FALSE;FALSE
jetzt;now;5;FALSE;TRUE;FALSE
Juli;July;0;FALSE;FALSE;FALSE
Juni;June;2;FALSE;FALSE;FALSE
kalt;cold;4;FALSE;FALSE;FALSE
kämpfen;to fight;1;TRUE;FALSE;TRUE
Kanada;Canada;3;FALSE;FALSE;FALSE
Kapiert?;Geddit?;-1;FALSE;FALSE;TRUE
